test_name,library,max,mean,median,min,stddev,warmup,iterations,utf8Validation,checkKeys,ignoreUndefined
string_array_10._serialize,bson@4.7.2,63.670403892045016,57.88320275435522,58.686880270060044,2.8800768729217494,6.777415596354645,1000,1000,-,1,0
string_array_100._serialize,bson@4.7.2,135.087489753321,125.86627456130562,128.43824292290617,81.45602240323849,7.018616048627381,1000,1000,-,1,0
string_singleFieldDocument._deserialize,bson-ext@4.0.2,21.721262149915113,20.4957989947228,21.225576129378766,0.6476208166850447,2.706347296223084,1000,1000,1,-,-
string_singleElementArray._deserialize,bson-ext@4.0.2,21.373588738983333,19.461387264910844,20.734223608902216,0.8144626370770998,3.2356439751577306,1000,1000,1,-,-
string_array_1000._deserialize,bson-ext@4.0.2,173.4314905725766,165.3166428200965,168.3208225377744,70.57377723591704,13.233162236061926,1000,1000,1,-,-
string_array_10._deserialize,bson-ext@4.0.2,83.80066451537733,76.8019600893712,81.35307846955837,1.2258162384387352,10.45210405639985,1000,1000,1,-,-
string_array_100._deserialize,bson-ext@4.0.2,157.87101055177044,151.64284884521456,155.1263416664678,20.162184896013333,11.74905209417165,1000,1000,1,-,-
string_singleFieldDocument._serialize,bson-ext@4.0.2,10.54513858104302,9.223223875092861,9.91395399761403,0.1309084801796812,1.4876123874947573,1000,1000,-,1,0
string_singleElementArray._serialize,bson-ext@4.0.2,10.91235946238451,9.74283656953573,10.404210603365017,0.14353616148933906,1.461512569037116,1000,1000,-,1,0
string_array_1000._serialize,bson-ext@4.0.2,191.5059366982853,178.9210156719575,177.13153474960387,31.03744699263422,11.14774532716836,1000,1000,-,1,0
string_array_10._serialize,bson-ext@4.0.2,62.507878417799,55.040919739932676,58.893832344790226,1.2000126350603484,8.065249510733354,1000,1000,-,1,0
string_array_100._serialize,bson-ext@4.0.2,156.4653597524209,144.203605816225,147.58065519071778,10.222782795898569,12.056392325871395,1000,1000,-,1,0
