test_name,library,max,mean,median,min,stddev,warmup,iterations,promoteValues,index,checkKeys,ignoreUndefined
boolean_array_1000._deserialize,bson@6.2.0,52.901846058024574,50.482269342109,51.449435582490054,17.78847881616947,3.9445930114471652,1000,1000,-,-,1,0
boolean_array_100._deserialize,bson@6.2.0,44.59608597979713,40.66551248976311,42.486741479310254,2.0075995401448434,4.383109488004074,1000,1000,-,-,1,0
boolean_array_10._deserialize,bson@6.2.0,19.8502611452171,10.320693214273733,9.465989407625447,0.604629376111973,3.7756529706102664,1000,1000,-,-,1,0
boolean_singleFieldDocument._deserialize,bson@5.5.1,4.137924774941424,3.7897167700714944,3.963017873546626,0.05955571683029918,0.5476424855932212,1000,1000,1,0,-,-
boolean_singleFieldDocument._deserialize,bson@5.5.1,4.178287232276274,3.869533889389886,3.989351087861134,0.02284119039866397,0.5192192919095866,1000,1000,0,0,-,-
boolean_singleElementArray._deserialize,bson@5.5.1,4.904775098882201,4.264476311149151,4.678052461810788,0.7119823959439775,0.8216241978010668,1000,1000,1,0,-,-
boolean_singleElementArray._deserialize,bson@5.5.1,4.846105141536683,4.214554512836601,4.614569094115554,0.755153180464854,0.7964307093233458,1000,1000,0,0,-,-
boolean_array_1000._deserialize,bson@5.5.1,53.652901676885016,50.89038117905433,51.829347569464176,16.767409210181576,4.012312742127912,1000,1000,1,0,-,-
boolean_array_1000._deserialize,bson@5.5.1,53.54341380297491,50.98097061914899,51.8678316280472,17.747672120783065,3.872817054590718,1000,1000,0,0,-,-
boolean_array_100._deserialize,bson@5.5.1,44.31715771590918,40.334511020020855,42.12377263279167,5.105975709080129,4.146504070428972,1000,1000,1,0,-,-
boolean_array_100._deserialize,bson@5.5.1,45.27449581802087,41.024554336999024,42.8779043541204,1.863749763247537,4.512738636504416,1000,1000,0,0,-,-
boolean_array_10._deserialize,bson@5.5.1,19.992410553888007,11.084941026430952,9.606659982713916,0.2080699750042471,4.232744822436373,1000,1000,1,0,-,-
boolean_array_10._deserialize,bson@5.5.1,20.221327814795444,10.175881867856981,9.515244349273685,0.23207950904796742,3.6355963962711915,1000,1000,0,0,-,-
boolean_singleFieldDocument._deserialize,bson@5.5.1,4.113350967759511,3.8336682685092778,3.984088022269423,0.02416392910321856,0.5406756616489168,1000,1000,-,-,1,0
boolean_singleElementArray._deserialize,bson@5.5.1,4.811766912980397,4.212392479594749,4.61957680596048,0.6767783554447152,0.8057845381464275,1000,1000,-,-,1,0
