test_name,library,max,mean,median,min,stddev,warmup,iterations,promoteValues,index,evalFunctions,cacheFunctions,allowObjectSmallerThanBufferSize,checkKeys,ignoreUndefined
int32_array_10._deserialize,bson@4.7.2,30.503694986911427,19.43031728432849,13.50252767636806,0.22328454478385795,8.741657009961749,1000,1000,0,0,0,0,0,-,-
int32_array_10._serialize,bson@4.7.2,13.361244751487238,12.601873537977234,13.023717772935157,0.43957907629639087,1.3957142674477085,1000,1000,-,-,-,-,-,1,0
int32_array_1000._deserialize,bson@4.7.2,76.7440280140584,72.91189802439462,74.0999711505128,26.947429560282625,5.462844294877799,1000,1000,1,0,0,0,0,-,-
int32_array_1000._deserialize,bson@4.7.2,76.2197381318995,70.58617809787677,72.87624584286331,18.31165807969018,8.040494100409699,1000,1000,0,0,0,0,0,-,-
int32_array_1000._serialize,bson@4.7.2,49.01399566522404,47.32140143518525,47.76415563985623,14.544248320938014,1.6894124423521566,1000,1000,-,-,-,-,-,1,0
int32_singleFieldDocument._deserialize,bson-ext@4.0.2,4.129395071224195,3.873770121238486,4.006658812291037,0.13912725041255836,0.4979781061877936,1000,1000,1,0,0,0,0,-,-
int32_singleFieldDocument._deserialize,bson-ext@4.0.2,3.5703484221073447,3.2949351775564613,3.4482883642062534,0.6499490472385656,0.46198400190969996,1000,1000,0,0,0,0,0,-,-
int32_singleFieldDocument._serialize,bson-ext@4.0.2,2.4081840169375965,2.1429018923929757,2.294241722663914,0.030769546971006013,0.33115709004138566,1000,1000,-,-,-,-,-,1,0
int32_singleElementArray._deserialize,bson-ext@4.0.2,5.780363486020431,5.2319810070661275,5.575678298438019,0.2351253427436449,0.8626496793103006,1000,1000,1,0,0,0,0,-,-
int32_singleElementArray._deserialize,bson-ext@4.0.2,5.115082851872742,4.6764392469777345,4.978845594563314,1.007708689025535,0.7286366522347641,1000,1000,0,0,0,0,0,-,-
int32_singleElementArray._serialize,bson-ext@4.0.2,3.565050334411738,3.15061678147693,3.3658689791841248,0.047270262704828946,0.49086672446771346,1000,1000,-,-,-,-,-,1,0
int32_array_100._deserialize,bson-ext@4.0.2,37.53564060571444,35.4379357506923,36.68761361423442,3.081812062162815,3.154068514770562,1000,1000,1,0,0,0,0,-,-
int32_array_100._deserialize,bson-ext@4.0.2,21.513149711805553,20.884325214065647,21.224301965028694,2.8302553140667244,1.390989187293303,1000,1000,0,0,0,0,0,-,-
int32_array_100._serialize,bson-ext@4.0.2,33.082014244898815,31.135710048748642,32.30999426329371,1.7254901730945758,2.671670176493309,1000,1000,-,-,-,-,-,1,0
int32_array_10._deserialize,bson-ext@4.0.2,16.374078301104728,15.219638007453895,15.958433023716887,3.660095432598165,1.9665373290986572,1000,1000,1,0,0,0,0,-,-
int32_array_10._deserialize,bson-ext@4.0.2,11.850383405314554,10.831970927111797,11.592165893860562,0.18345582016939221,1.5205444431724835,1000,1000,0,0,0,0,0,-,-
int32_array_10._serialize,bson-ext@4.0.2,11.20560178322832,10.243895301504272,10.819279823019135,0.2061993916823771,1.3101831876404681,1000,1000,-,-,-,-,-,1,0
int32_array_1000._deserialize,bson-ext@4.0.2,48.290083429379486,46.90841793576834,47.79274243596459,20.11813744346101,3.0997663527411414,1000,1000,1,0,0,0,0,-,-
int32_array_1000._deserialize,bson-ext@4.0.2,26.04945362272878,25.09233355394926,25.487753971659277,10.72787639462612,1.8161741930553326,1000,1000,0,0,0,0,0,-,-
int32_array_1000._serialize,bson-ext@4.0.2,45.389656096541124,44.33695585729014,45.00521983284804,14.273964557806849,1.5548889221341538,1000,1000,-,-,-,-,-,1,0
