test_name,library,max,mean,median,min,stddev,warmup,iterations,promoteBuffers,checkKeys,ignoreUndefined
binary_singleElementArray._deserialize,bson-ext@4.0.2,9.037729640661638,8.069842953148584,8.685313641000656,0.5841322008025658,1.242169159263893,1000,1000,0,-,-
binary_singleElementArray._serialize,bson-ext@4.0.2,6.9577076689137,6.352944225786654,6.75228718833578,0.11660714133858398,0.8549814652088917,1000,1000,-,1,0
binary_array_100._deserialize,bson-ext@4.0.2,49.8372024271115,32.123507508790574,34.65913349715615,8.019099680137218,5.78044171348923,1000,1000,1,-,-
binary_array_100._deserialize,bson-ext@4.0.2,31.285073824041188,25.04236238808918,26.144535985859108,8.293262572169422,3.7382080797665704,1000,1000,0,-,-
binary_array_100._serialize,bson-ext@4.0.2,21.01437454455305,20.40665841257323,20.69042274446113,8.6745095442958,0.8613142703048557,1000,1000,-,1,0
binary_small._deserialize,bson-ext@4.0.2,286.0685327742837,236.93491531583157,271.25314050701127,11.637693121756827,54.50886100424751,1000,1000,1,-,-
binary_small._deserialize,bson-ext@4.0.2,202.0647029883509,169.2946153300726,191.32843583977126,11.881710613857464,33.35090552048012,1000,1000,0,-,-
binary_small._serialize,bson-ext@4.0.2,115.85286963701864,99.28884408264236,108.47292843693498,2.269533994992616,17.28609695993097,1000,1000,-,1,0
binary_medium._deserialize,bson-ext@4.0.2,13127.05321753457,7027.259872855106,6325.890455400571,2135.9367902803997,1899.116156331308,1000,1000,1,-,-
binary_medium._deserialize,bson-ext@4.0.2,12651.286186866106,6587.143788410615,6196.162813789917,1867.3518718545417,1547.1229164389376,1000,1000,0,-,-
binary_medium._serialize,bson-ext@4.0.2,4350.792692711799,3959.0311964865577,4222.4523002961305,601.2879114896638,693.7438531708831,1000,1000,-,1,0
binary_array_10._deserialize,bson-ext@4.0.2,36.78741896212151,31.321202399146785,33.6588382760846,1.5445197415417613,4.945845433991551,1000,1000,1,-,-
binary_array_10._deserialize,bson-ext@4.0.2,25.86035212098987,22.862150800821173,24.055089448830692,1.1408400807998593,3.1332040870460838,1000,1000,0,-,-
binary_array_10._serialize,bson-ext@4.0.2,16.767658861107158,15.857271436077813,16.29758793966745,8.578346620870006,1.17772228445084,1000,1000,-,1,0
binary_array_1000._deserialize,bson-ext@4.0.2,48.77735702337875,39.643999355935925,43.43997020190334,11.704567212485403,9.884641476793076,1000,1000,1,-,-
binary_array_1000._deserialize,bson-ext@4.0.2,32.350303956936955,29.293570514060136,30.9383143179163,7.709281095829205,5.0468212629309965,1000,1000,0,-,-
binary_array_1000._serialize,bson-ext@4.0.2,22.278127457699224,21.647685052716128,21.726837903458986,18.657979415002394,0.49445561623867745,1000,1000,-,1,0
