test_name,library,max,mean,median,min,stddev,warmup,iterations,promoteValues,checkKeys,ignoreUndefined
double_array_100._deserialize,bson@5.5.1,68.53870253660422,64.32499279861585,65.72006731874345,3.777756903564473,6.130364783999638,1000,1000,0,-,-
double_array_100._serialize,bson@5.5.1,31.863824002932812,30.386702029696973,31.230555886166627,1.4231179179582896,2.4934527625660245,1000,1000,-,1,0
double_array_1000._deserialize,bson@5.5.1,78.86997859540284,74.71690250763939,76.03164707718926,24.68461472324131,5.89186588185467,1000,1000,1,-,-
double_array_1000._deserialize,bson@5.5.1,77.68150635420892,72.81574170657031,74.91711576709656,27.145445148519563,7.673266323436703,1000,1000,0,-,-
double_array_1000._serialize,bson@5.5.1,38.21948431074329,37.34018225350738,37.58919487371169,27.97864058855571,0.9034843789336836,1000,1000,-,1,0
double_singleFieldDocument._deserialize,bson@4.7.2,6.048386468785676,5.576230655670021,5.870863658234308,0.16659027143676922,0.8443132745882671,1000,1000,1,-,-
double_singleFieldDocument._deserialize,bson@4.7.2,5.545270533796067,5.0678093575524255,5.353541012178139,0.15706185063541966,0.8319793972783052,1000,1000,0,-,-
double_singleFieldDocument._serialize,bson@4.7.2,4.878043031595271,4.417575044446584,4.645765988623646,0.14249583344982286,0.6950747230069269,1000,1000,-,1,0
double_singleElementArray._deserialize,bson@4.7.2,6.066118648817218,5.247008877093952,5.788715135468951,0.05396086271620793,1.0530222661527808,1000,1000,1,-,-
double_singleElementArray._deserialize,bson@4.7.2,5.728994101025278,4.914108408579521,5.425942353815442,0.05640889720630439,0.9856397679538371,1000,1000,0,-,-
double_singleElementArray._serialize,bson@4.7.2,5.0543298060628885,4.5249568948727505,4.73150753697985,0.23934891428053764,0.6653778442716731,1000,1000,-,1,0
double_array_10._deserialize,bson@4.7.2,31.344458830414624,17.886735516385173,14.266047822968957,0.20876721135944215,7.836184276228806,1000,1000,1,-,-
double_array_10._deserialize,bson@4.7.2,30.5147242845247,19.522895297012518,13.806868065365492,0.25546556176608587,8.421125132869134,1000,1000,0,-,-
double_array_10._serialize,bson@4.7.2,13.299164120661086,12.537245997489816,12.946526104399002,0.5055796494331372,1.3340547848964024,1000,1000,-,1,0
double_array_100._deserialize,bson@4.7.2,68.71471753583752,62.221567978351835,64.89148254970652,3.178850718934508,6.675734480000032,1000,1000,1,-,-
double_array_100._deserialize,bson@4.7.2,67.47894779337737,63.30092240752502,64.47209234562112,3.75237169471384,5.521049037872457,1000,1000,0,-,-
double_array_100._serialize,bson@4.7.2,39.87286611528177,37.80862387536168,39.04499456730442,22.666325319478805,2.732453968150946,1000,1000,-,1,0
double_array_1000._deserialize,bson@4.7.2,76.86861362918225,73.05364483080302,74.26345515592891,28.68225088364939,5.528507825352686,1000,1000,1,-,-
double_array_1000._deserialize,bson@4.7.2,74.26407361198189,68.76473685503396,71.48477953105755,18.077891128453707,7.942602629753151,1000,1000,0,-,-
double_array_1000._serialize,bson@4.7.2,48.67660779656449,47.03718745076978,47.430810209791645,13.968295093178433,1.6494590231505417,1000,1000,-,1,0
double_singleFieldDocument._deserialize,bson-ext@4.0.2,4.195833731047778,3.9620839792377556,4.096958557605234,0.12061757387000366,0.5037366154028649,1000,1000,1,-,-
double_singleFieldDocument._deserialize,bson-ext@4.0.2,3.4246496619179245,3.225304119678273,3.338887880923753,0.7951758279518929,0.3885476179362634,1000,1000,0,-,-
double_singleFieldDocument._serialize,bson-ext@4.0.2,2.3913929776215137,2.1097339243259663,2.266508610713403,0.031110247618305893,0.332741772989382,1000,1000,-,1,0
double_singleElementArray._deserialize,bson-ext@4.0.2,5.870264520643807,5.339833267381192,5.665729313532634,0.2677304681313166,0.8437620545025534,1000,1000,1,-,-
double_singleElementArray._deserialize,bson-ext@4.0.2,5.003755228643647,4.614123442742041,4.892386381861923,0.7986897030242658,0.6641083327493568,1000,1000,0,-,-
double_singleElementArray._serialize,bson-ext@4.0.2,3.6055415925685153,3.241709330082388,3.4755405289887458,0.05398212727770868,0.4919566316303812,1000,1000,-,1,0
double_array_10._deserialize,bson-ext@4.0.2,16.7204069066545,15.505233642060269,16.290464763687414,4.421477376786838,2.022312073527724,1000,1000,1,-,-
double_array_10._deserialize,bson-ext@4.0.2,11.95101982526305,10.931737984875456,11.651551274952316,0.1850497661743422,1.4796603167824243,1000,1000,0,-,-
double_array_10._serialize,bson-ext@4.0.2,11.163425309747993,10.20814995697178,10.764539736076884,3.1116440167994184,1.2315006890004196,1000,1000,-,1,0
double_array_100._deserialize,bson-ext@4.0.2,38.03165265897683,35.76147772022601,36.93395833799668,3.1449621987672134,3.0621992365730404,1000,1000,1,-,-
double_array_100._deserialize,bson-ext@4.0.2,21.522377616389598,20.866695511570736,21.23552611664159,2.9008650091900208,1.422965248167009,1000,1000,0,-,-
double_array_100._serialize,bson-ext@4.0.2,33.08749858288757,31.244953902433974,32.407789572004305,1.8069794776230759,2.629227456808379,1000,1000,-,1,0
double_array_1000._deserialize,bson-ext@4.0.2,48.94474106507099,47.598641535807474,48.461591542363124,22.058915125468502,3.052440196659915,1000,1000,1,-,-
double_array_1000._deserialize,bson-ext@4.0.2,26.161133476421796,25.054064762638117,25.51982704806099,10.937776386069334,1.801748843698986,1000,1000,0,-,-
double_array_1000._serialize,bson-ext@4.0.2,45.296593086068576,44.22640525557949,44.87681517951135,29.04276008307956,1.2434229147352505,1000,1000,-,1,0
