test_name,library,max,mean,median,min,stddev,warmup,iterations,checkKeys,ignoreUndefined,promoteValues,index
mixed_medium._deserialize,bson@4.7.2,34.44520244614765,32.835938780485506,33.43940501111008,5.691401493281411,2.7695369343772573,1000,1000,-,-,1,0
mixed_small._deserialize,bson@4.7.2,32.6963444593432,30.555517330680086,31.481705251831023,2.938555003356711,2.900892161793033,1000,1000,-,-,1,0
nested_4._deserialize,bson@4.7.2,17.590274143496327,17.007501135604766,17.29401063783095,1.274515481273128,1.340054823133307,1000,1000,-,-,1,0
nested_8._deserialize,bson@4.7.2,18.45841959840608,17.733111064339305,18.195095887778002,10.153241219124922,1.461630888544984,1000,1000,-,-,1,0
nested_16._deserialize,bson@4.7.2,17.29303118784429,16.824378521882966,16.701495146895667,15.138995687895019,0.3957052706950713,1000,1000,-,-,1,0
tweet._serialize,bson-ext@4.0.2,38.37765897323072,37.12747231620209,37.81835941267266,4.734456032280519,2.608651833502269,1000,1000,1,0,-,-
bestbuy_medium._serialize,bson-ext@4.0.2,36.92961889508243,35.897988358627096,36.445205953049786,8.383474715694069,2.130735670086717,1000,1000,1,0,-,-
deep_bson._serialize,bson-ext@4.0.2,13.024695802296657,12.407567712165214,12.641867325767967,4.876851057059914,0.9546611138630378,1000,1000,1,0,-,-
flat_bson._serialize,bson-ext@4.0.2,78.15963059794977,75.79769741123327,77.07636876827765,21.47537176271679,5.1492721107850326,1000,1000,1,0,-,-
full_bson._serialize,bson-ext@4.0.2,26.004562051193115,25.291706442233195,25.662307778648465,9.590465275951559,1.3052048589602532,1000,1000,1,0,-,-
mixed_large._serialize,bson-ext@4.0.2,45.19102142619916,43.12757490670504,43.13864692902712,41.26851108327778,0.5728943647924226,1000,1000,1,0,-,-
mixed_medium._serialize,bson-ext@4.0.2,46.55999536129018,44.36773049905028,45.69242871258535,5.696728846331578,3.2017689725795964,1000,1000,1,0,-,-
mixed_small._serialize,bson-ext@4.0.2,40.67401332942928,38.40246549037828,39.7957977391976,1.7488793188070408,3.4177221241715054,1000,1000,1,0,-,-
nested_4._serialize,bson-ext@4.0.2,7.811003415280532,7.490124428096645,7.6349108274738,1.2004651404715088,0.5484459205152935,1000,1000,1,0,-,-
nested_8._serialize,bson-ext@4.0.2,8.208564586455731,7.835756493029266,7.941905906781875,5.580255668134306,0.4459405550564627,1000,1000,1,0,-,-
nested_16._serialize,bson-ext@4.0.2,7.7305293361395595,7.471388153182349,7.504244199664637,7.013367132081397,0.1704649219330605,1000,1000,1,0,-,-
tweet._deserialize,bson-ext@4.0.2,43.97780333883785,42.79980040165151,43.45236028899751,5.6782359557106785,3.1336637185321985,1000,1000,-,-,1,0
deep_bson._deserialize,bson-ext@4.0.2,37.519793218023466,36.39062829075159,36.9503702530655,6.554993582133155,2.421853895303289,1000,1000,-,-,1,0
nested_4._deserialize,bson-ext@4.0.2,21.218200123817102,19.833028279950522,20.864462211829675,1.349642406980597,1.9371179171274209,1000,1000,-,-,1,0
nested_8._deserialize,bson-ext@4.0.2,26.04396262657018,25.163419858788956,25.665876952732788,10.73608400573842,1.6258519080378544,1000,1000,-,-,1,0
nested_16._deserialize,bson-ext@4.0.2,25.336789402450872,24.31649989254793,24.29434483696931,23.206234174417315,0.9801943687200398,1000,1000,-,-,1,0
